COD_DEP,DEPENDENCIA,SUPERINTENDENCIA,DIRECCION,PROVINCIA,LATITUD,LONGITUD,PERSONAL,MOVILES,ARMAS
25,DIVISION SEGURIDAD Y CUSTODIA MIN PUBLICO FISCAL Y DE LA DEFENSA DE LA NACION,SEGURIDAD Y CUSTODIA,BOLIVAR 1423 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.62451071857,-58.3728763860524,100,100,100
100,SECCION SEGURIDAD CON EL REGISTRO NACIONAL DE LAS PERSONAS,SEGURIDAD Y CUSTODIA,BALCARCE 24 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6081476303882,-58.3703369056669,100,100,100
104,DIVISION OPERACIONES - DEPTO ASUNT. EXTRANJEROS,SEGURIDAD Y CUSTODIA,MORENO 1417 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61221259081,-58.3864837346939,100,100,100
107,SECCION COORDINACION LEGISLATIVA,SEGURIDAD Y CUSTODIA,ALSINA ADOLFO 1825 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61141381399,-58.3922812040816,100,100,100
109,DIVISION ORGANIZACION Y METODOS,PLANEAMIENTO Y DESARROLLO ESTRATEGICO,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6128146223,-58.38774827,100,100,100
113,DIR. GRAL. INVESTIGACIONES INTERNAS,ASUNTOS INTERNOS E INSPECTORIA GENERAL,AV. RIVADAVIA 1325 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.608594441523,-58.3852988213216,100,100,100
1010,DEPTO. PROCEDIMIENTOS ESPECIALES,ASUNTOS INTERNOS E INSPECTORIA GENERAL,AV. RIVADAVIA 1325 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6084632190505,-58.3853032500447,100,100,100
1011,DIVISION INVESTIGACIONES DISCIPLINARIAS COMPLEJAS,ASUNTOS INTERNOS E INSPECTORIA GENERAL,AV. RIVADAVIA 1325 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.60853243,-58.38529308,100,100,100
1012,DIVISION SUR,ASUNTOS INTERNOS E INSPECTORIA GENERAL,AV. RIVADAVIA 1325 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6086210201235,-58.3852980832011,100,100,100
1015,DIVISION INVESTIGACION DE CONDUCTAS VIOLENTAS,ASUNTOS INTERNOS E INSPECTORIA GENERAL,AV. RIVADAVIA 1325 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6084917721062,-58.385293654478,100,100,100
1017,DIR.GRAL. AGENCIA REGIONAL FEDERAL NEA - CORRIENTES,AGENCIAS FEDERALES,PLACIDO MARTINEZ 750 (CAPITAL),CORRIENTES,-27.518402,-58.824425,100,100,100
1022,DIVISION SEGURIDAD Y CUSTODIA DIR. DE ASIST JUDICIAL EN DELITOS COMPLE Y CRI ORG,SEGURIDAD Y CUSTODIA,AV. DE LOS INCAS 3834 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5769771034322,-58.4662150346483,100,100,100
1028,DIVISION SISTEMA FEDERAL DE COMUNICACIONES POLICIALES,PLANEAMIENTO Y DESARROLLO ESTRATEGICO,CEVALLOS VIRREY 362 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6131211101449,-58.3888390318654,100,100,100
1032,DEPTO. COORDINACION JEFATURA,DIR. GRAL. GABINETE DE JEFATURA,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6126850158428,-58.3886371559032,100,100,100
1033,DIVISION GESTION OPERATIVA Y SEGURIDAD,DIR. GRAL. GABINETE DE JEFATURA,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61282856,-58.38826324,100,100,100
1041,SECCION ESCUELA DE CONDUCTORES,INSTRUCCION Y FORMACION ACADEMICA,AV. PUNTA ARENAS 1201 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.59072577718,-58.4702827186772,100,100,100
1044,DIVISION UNIDAD DE INTERVENCION TERRITORIAL I,FEDERAL DE INTERVENCION TERRITORIAL,HIPOLITO IRIGOYEN 4848 (FLORIDA OESTE),BUENOS AIRES,-34.5411183262724,-58.5258938714044,100,100,100
1045,DIVISION UNIDAD DE INTERVENCION TERRITORIAL II,FEDERAL DE INTERVENCION TERRITORIAL,AV. JUSTO JOSE DE URQUIZA 4001 (CASEROS),BUENOS AIRES,-34.60862737318,-58.5511603091146,100,100,100
1047,SECCION COORDINACION DE INSTITUTOS S-B,BIENESTAR,SAENZ PEÑA LUIS PRES. 375 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6131302982468,-58.387712659952,100,100,100
1048,DIVISION SERVICIOS MEDICOS GENERALES,BIENESTAR,SARMIENTO 3673 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.605432177732,-58.4166338856598,100,100,100
1053,DIVISION CONVENIO POLICIAL ARGENTINO,AGENCIAS FEDERALES,MADARIAGA 6976 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6956172416281,-58.4726086555171,100,100,100
1066,DEPTO. SEGURIDAD PRESIDENCIAL,SEGURIDAD Y CUSTODIA,BALCARCE 50 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6077450558748,-58.3701210094971,100,100,100
1068,DIVISION EXPLOSIVOS PRESIDENCIAL,SEGURIDAD Y CUSTODIA,AV. DEL LIBERTADOR 2200 (OLIVOS),BUENOS AIRES,-34.5131250998169,-58.4779895633595,100,100,100
1070,DIVISION SEGURIDAD Y CUSTODIA SECRETARIA DE SEGURIDAD Y POLITICA CRIMINAL,SEGURIDAD Y CUSTODIA,AV. PASEO COLON 532 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61423362984,-58.3695857797625,100,100,100
1072,SECCION BATALLON SEGURIDAD,FEDERAL DE INTERVENCION TERRITORIAL,CEVALLOS VIRREY 360 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.613211244621,-58.3888174418402,100,100,100
1073,DEPTO. PATROCINIO LEGAL,DIR. GRAL. ASUNTOS JURIDICOS,SAENZ PEÑA LUIS PRES. 375 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6131457889287,-58.3877108146507,100,100,100
1076,DIR.GRAL. DE SEGURIDAD DIPLOMATICA,SEGURIDAD Y CUSTODIA,MORENO 1417 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6119636289801,-58.3865014041788,100,100,100
1077,DEPTO. ÁREA MINISTERIOS Y ORGANISMOS ECONOMICOS,SEGURIDAD Y CUSTODIA,BALCARCE 186 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.60983739514,-58.3705819142857,100,100,100
1078,SECCION SEGURIDAD Y CUSTODIA SECRETARIA DE GESTION Y EMPLEO PUBLICO,SEGURIDAD Y CUSTODIA,MORENO 1417 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6122348711759,-58.3864139368972,100,100,100
1080,DIVISION SEGURIDAD Y CUSTODIA ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS (A.F.I.P),SEGURIDAD Y CUSTODIA,HIPOLITO IRIGOYEN 340 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.60903921137,-58.3712207315044,100,100,100
1083,DIVISION GESTION ADMINISTRATIVA - SUPER. DE SEGURIDAD Y CUSTODIA,SEGURIDAD Y CUSTODIA,MORENO 1417 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6121555944332,-58.3864689268759,100,100,100
1084,DIR. GRAL. DE CUSTODIAS FEDERALES,SEGURIDAD Y CUSTODIA,CAVIA 3302 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5740417218,-58.40507057,100,100,100
1085,SECCION COORDINACION ESTRATEGICA CON LAS AUTORIDADES POLICIALES DE LA PROVINCIA DE BUENOS AIRES,SEGURIDAD Y CUSTODIA,BALCARCE 50 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6079930259431,-58.3705003524846,100,100,100
1088,DEPTO. OPERACIONES CONTRA EL LAVADO DE ACTIVOS Y FINANCIAMIENTO DEL NARCOTRAFICO,DROGAS PELIGROSAS,AV. BELGRANO 1613 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6133869572104,-58.3890759685524,100,100,100
1089,DEPTO. TRAFICO ILICITO DE DROGAS,DROGAS PELIGROSAS,AV. BELGRANO 1613 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6134844570348,-58.3891770910636,100,100,100
1090,DIR. GRAL. ANTIDROGAS INTERIOR,DROGAS PELIGROSAS,AV. BELGRANO 1613 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6134306954635,-58.3892416766091,100,100,100
1091,DEPTO. OPERACIONES ANTIDROGAS OESTE,DROGAS PELIGROSAS,AV. BELGRANO 1613 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6134461397,-58.38929085,100,100,100
1092,DEPTO. OPERACIONES ANTIDROGAS ESTE,DROGAS PELIGROSAS,VALLE ARISTOBULO DEL 328 (CONCORDIA),ENTRE RIOS,-31.3948750931313,-58.0249788780672,100,100,100
1093,DEPTO. OPERACIONES ANTIDROGAS SUR,DROGAS PELIGROSAS,LA ESMERALDA 1928 (CHIPOLETTI),RIO NEGRO,-38.92034856445,-67.9909156642375,100,100,100
1094,DIRECCION GENERAL OPERACIONES ANTIDROGAS HIDROVIA DEL PARANA,DROGAS PELIGROSAS,AV. LAS HERAS GRAL. 468 (CAMPANA),BUENOS AIRES,-34.16494934151,-58.9693587684009,100,100,100
1095,DIVISION ANALISIS DE LAS COMUNICACIONES DEL NARCOTRAFICO,DROGAS PELIGROSAS,AV. BELGRANO 1613 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6135035925009,-58.389292606925,100,100,100
1098,DIVISION ANTIDROGAS SAN PEDRO (JUJUY),DROGAS PELIGROSAS,SARMIENTO 202 (SAN PEDRO),JUJUY,-24.232351695,-64.867429,100,100,100
1099,DIVISION ANTIDROGAS RIO HONDO,DROGAS PELIGROSAS,CHACABUCO 0 (RIO HONDO),SANTIAGO DEL ESTERO,-27.495752836,-64.8625955,100,100,100
1101,DIVISION ANTIDROGAS SAN RAMON DE LA NUEVA ORAN,DROGAS PELIGROSAS,20 DE FEBRERO 141 (SAN RAMON DE LA NUEVA ORAN),SALTA,-23.13425354053,-64.3275996151732,100,100,100
1107,DIVISION ANTIDROGAS CONCORDIA,DROGAS PELIGROSAS,VALLE ARISTOBULO DEL 328 (CONCORDIA),ENTRE RIOS,-31.39480796,-58.02494962,100,100,100
1108,DIVISION ANTIDROGAS EL DORADO,DROGAS PELIGROSAS,MALVINAS ARGENTINAS 1949 (POSADAS),MISIONES,-26.4071551025,-54.6043936666256,100,100,100
1115,DIVISION ANTIDROGAS GENERAL PICO,DROGAS PELIGROSAS,CALLE 19 555 (GENERAL PICO),LA PAMPA,-35.66475658458,-63.7557162262498,100,100,100
1117,DIVISION ANTIDROGAS PUERTO MADRYN,DROGAS PELIGROSAS,JUAN MUZZIO 401 (BIEDMA),CHUBUT,-42.76395709249,-65.0457513731247,100,100,100
1120,SECCION CONTRABANDO DE ESTUPEFACIENTES,DROGAS PELIGROSAS,AV. BELGRANO 1613 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6134261393966,-58.3890719088895,100,100,100
1129,DIVISION APOYO OPERATIVO TACTICO SAN JUAN,AGENCIAS FEDERALES,AV. RIVADAVIA 44 (CAPITAL),SAN JUAN,-31.53665958417,-68.5253560205081,100,100,100
1130,DEPTO. INVESTIGACIONES FEDERALES - SAN JUAN,AGENCIAS FEDERALES,AV. RIVADAVIA 44 (CAPITAL),SAN JUAN,-31.53666058417,-68.5253560205081,100,100,100
1138,DIVISION SEGURIDAD DE OBJETIVOS DIPLOMATICOS,SEGURIDAD Y CUSTODIA,CAVIA 3302 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5739919347677,-58.4050371333245,100,100,100
1139,DIVISION CUSTODIAS ESTRATEGICAS,SEGURIDAD Y CUSTODIA,CAVIA 3302 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5740627582,-58.40492477,100,100,100
1145,DIVISION AGRUPACION DOUCAD,FEDERAL DE INTERVENCION TERRITORIAL,CAVIA 3370 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5738982564895,-58.4042966071051,100,100,100
1149,DIVISION COORDINACION OPERATIVA CON EL CENTRO DE OPERACIONES AEROSPACIALES MERLO (COAEM),AGENCIAS FEDERALES,MORENO 1550 (MERLO),BUENOS AIRES,-34.68180332,-58.7506422,100,100,100
1150,DIVISION COMUNICACIONES NOA (TUCUMAN),AGENCIAS FEDERALES,LAPRIDA 1074 (SAN MIGUEL DE TUCUMAN),TUCUMAN,-26.81675551,-65.2004532,100,100,100
116,DIVISION DESARROLLO Y SISTEMAS,DIR. GRAL. AYUDANTIA DE SUBJEFATURA P.F.A.,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6126109031235,-58.3880318970768,100,100,100
1160,DIVISION DESPACHO Y LOGISTICA ARFNT,AGENCIAS FEDERALES,LAPRIDA 1074 (SAN MIGUEL DE TUCUMAN),TUCUMAN,-26.81679963,-65.20069605,100,100,100
1166,DEPTO. INVESTIGACIONES FEDERALES - SALTA,AGENCIAS FEDERALES,LAPRIDA 1074 (SAN MIGUEL DE TUCUMAN),TUCUMAN,-26.81669462,-65.20097382,100,100,100
117,DIVISION SEGURIDAD Y CUSTODIA MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,SEGURIDAD Y CUSTODIA,SARMIENTO 329 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.604069891,-58.37145641,100,100,100
1175,DIVISION APOYO OPERATIVO TACTICO TUCUMAN,AGENCIAS FEDERALES,LAPRIDA 1074 (SAN MIGUEL DE TUCUMAN),TUCUMAN,-26.81691087,-65.20096039,100,100,100
1184,DIVISION UNIDAD OPERATIVA FEDERAL CAMPANA,AGENCIAS FEDERALES,AV. LAS HERAS GRAL. 468 (CAMPANA),BUENOS AIRES,-34.16497134151,-58.9693587684009,100,100,100
1185,DIVISION UNIDAD OPERATIVA FEDERAL SAN RAMON DE LA NUEVA ORAN,AGENCIAS FEDERALES,AV. SAN MARTIN Y 9 DE JULIO TERMINAL OMNIBUS (SAN RAMON DE LA NUEVA ORAN),SALTA,-23.12837202742,-64.3285063032506,100,100,100
1186,DIRECCION GENERAL DE SEGURIDAD PRESIDENCIAL Y PROTECCION DE ESTADO,SEGURIDAD Y CUSTODIA,BALCARCE 50 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.60857305441,-58.3702121367907,100,100,100
1190,DEPTO. SEGURIDAD VICEPRESIDENCIAL Y JEFATURA DE GABINETE DE MINISTROS,SEGURIDAD Y CUSTODIA,ALEM 339 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6036127816979,-58.3696538443389,100,100,100
1192,DEPTO. CIBERDELITOS,INVESTIGACIONES FEDERALES,CAVIA 3350 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5736752409,-58.40563208,100,100,100
1199,DIVISION BUSQUEDA DE PROFUGOS,INVESTIGACIONES FEDERALES,MADARIAGA 6976 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6960086726427,-58.4719119694151,100,100,100
1201,DIVISION TECNICAS ESPECIALES DE INVESTIGACION,INVESTIGACIONES FEDERALES,GURRUCHAGA 2473 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5827647247069,-58.4203599079657,100,100,100
1202,DIVISION EVALUACION Y REGISTRO,INVESTIGACIONES FEDERALES,MADARIAGA 6976 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6959452143921,-58.4718391307576,100,100,100
1203,SUPER. FEDERAL DE INTERVENCION TERRITORIAL,FEDERAL DE INTERVENCION TERRITORIAL,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6130792602,-58.3881627,100,100,100
1204,DEPTO. APOYO OPERATIVO - SFOP,FEDERAL DE INTERVENCION TERRITORIAL,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61302823,-58.38822134,100,100,100
1206,DEPARTAMENTO PLANIFICACION DE SERVICIOS URBANOS Y FEDERALES,FEDERAL DE INTERVENCION TERRITORIAL,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6128819602,-58.3878251,100,100,100
1207,DEPTO. CUERPO POLICIA MOTORIZADA,FEDERAL DE INTERVENCION TERRITORIAL,VELEZ SARSFIELD 1981 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6585833721518,-58.3888068534815,100,100,100
1209,DIVISION GESTION ADMINISTRATIVA (SUP. FED. DE INTERVENCION TERRITORIAL),FEDERAL DE INTERVENCION TERRITORIAL,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6129833835,-58.38809363,100,100,100
1210,DIR. GRAL. FUERZAS DE OPERACIONES ESPECIALES (F.O.E),FEDERAL DE INTERVENCION TERRITORIAL,CAVIA 3302 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5741771999802,-58.4048553031554,100,100,100
122,DEPTO. INVESTIGACIONES FEDERALES - ROSARIO,AGENCIAS FEDERALES,AV. 9 DE JULIO 233 (ROSARIO),SANTA FE,-32.9560825939893,-60.6280252674288,100,100,100
1233,DIVISION UNIDAD OPERATIVA FEDERAL RAFAELA,AGENCIAS FEDERALES,BRAILLE 1095 (RAFAELA),SANTA FE,-31.26178692786,-61.4798292536312,100,100,100
1234,AGENCIA REGIONAL FEDERAL MAR DEL PLATA- BUENOS AIRES SUR,AGENCIAS FEDERALES,ESCOLLERA NORTE S/N (GENERAL PUEYRREDON),BUENOS AIRES,-38.03518746249,-57.5264075566957,100,100,100
1238,DIVISION DESPACHO Y LOGISTICA (MDP),AGENCIAS FEDERALES,SARMIENTO 2551 (GENERAL PUEYRREDON),BUENOS AIRES,-38.01128868543,-57.5425617547744,100,100,100
1247,DEPTO. INVESTIGACIONES FEDERALES - MAR DEL PLATA,AGENCIAS FEDERALES,SARMIENTO 2551 (GENERAL PUEYRREDON),BUENOS AIRES,-38.01128968543,-57.5425617547744,100,100,100
125,DEPTO. PROTECCION DEL PATRIMONIO CULTURAL,COOPERACION POLICIAL INTERNACIONAL,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5741411297539,-58.4047675624802,100,100,100
1257,DIVISION APOYO OPERATIVO TACTICO (MDP),AGENCIAS FEDERALES,SARMIENTO 2551 (GENERAL PUEYRREDON),BUENOS AIRES,-38.01129168543,-57.5425617547744,100,100,100
126,DIVISION SEGURIDAD Y CUSTODIA MINISTERIO DE DESARROLLO PRODUCTIVO,SEGURIDAD Y CUSTODIA,JULIO A ROCA 651 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61079247849,-58.3758913097034,100,100,100
1264,DIVISION COMUNICACIONES (MDP),AGENCIAS FEDERALES,SARMIENTO 2551 (GENERAL PUEYRREDON),BUENOS AIRES,-38.0110934837,-57.54291283,100,100,100
1268,SECCION PRO.NA.COM,SEGURIDAD Y CUSTODIA,AV. GELLY Y OBES GRAL. 2289 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5857731878757,-58.396486704392,100,100,100
1269,DIVISION TERMINAL DE OMNIBUS DE LA C.A.B.A.,FEDERAL DE TRANSPORTE,AV. ANTARTIDA ARGENTINA 10 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.5860951822,-58.37558931,100,100,100
1276,DIR. GRAL. DE OPERACIONES,FEDERAL DE INTERVENCION TERRITORIAL,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6131962412,-58.38850908,100,100,100
1279,DEPARTAMENTO INVESTIGACIONES FEDERALES - MORON,AGENCIAS FEDERALES,SALTA 377 (MORON),BUENOS AIRES,-34.6447829165453,-58.6207153947261,100,100,100
1280,DEP. INVESTIGACIONES FEDERALES SAN MARTIN,AGENCIAS FEDERALES,MORENO 1550 (SAN MARTIN),BUENOS AIRES,-34.5759555145933,-58.5382314837022,100,100,100
1285,DIVISION DOCTRINA Y LEGISLACION,PLANEAMIENTO Y DESARROLLO ESTRATEGICO,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6132174059741,-58.3878003838979,100,100,100
1290,DIVISION ORIENTACION Y APOYO AL PERSONAL POLICIAL Y SU FAMILIA,BIENESTAR,SAENZ PEÑA LUIS PRES. 375 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.613084129923,-58.3877270533021,100,100,100
1292,DEPTO. EVALUACION DE RIESGO DELICTUAL Y ANALISIS DE INVESTIGACIONES,AGENCIAS FEDERALES,MORENO 1417 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.612177463887,-58.3864024960291,100,100,100
1293,DIVISION PROTECCION QBN/R - SUP. BOMBEROS,FEDERAL DE BOMBEROS,MANUEL PORCEL DE PERALTA 750 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6293101614948,-58.5241077053294,100,100,100
1297,DIR.GRAL. DE PROTECCION FEDERAL,FEDERAL DE BOMBEROS,AV. BELGRANO 1547 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61321033064,-58.38819638,100,100,100
1298,DIVISION INVESTIGACION DE SINIESTROS,FEDERAL DE BOMBEROS,AV. BELGRANO 1547 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.613110496,-58.38836999,100,100,100
1303,SECCION CENTRAL OPERATIVA DE INFORMACION Y ALARMAS,FEDERAL DE BOMBEROS,AV. BELGRANO 1547 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61331050857,-58.38805259,100,100,100
1305,DIVISION LABORATORIO DE ENSAYOS FISICOQUIMICOS,FEDERAL DE BOMBEROS,RIGLOS 957 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.63033481,-58.43532876,100,100,100
1306,DIVISION CUARTEL AEROPUERTO INTERNACIONAL SANTIAGO DEL ESTERO,FEDERAL DE BOMBEROS,AV. MADRE DE CIUDADES S/N (SANTIAGO DEL ESTERO),SANTIAGO DEL ESTERO,-27.75431079424,-64.29973722,100,100,100
1307,EX - DIVISION UNIDAD OPERATIVA FEDERAL CHAJARI,AGENCIAS FEDERALES,BOLIVAR 1990 (CHAJARI),ENTRE RIOS,-30.7532250424096,-57.9876841692882,100,100,100
1308,DIVISION UNIDAD OPERATIVA FEDERAL CONCORDIA,AGENCIAS FEDERALES,SARMIENTO 1040 (CONCORDIA),ENTRE RIOS,-31.39485004,-58.02482315,100,100,100
1309,DIVISION UNIDAD DE INTERVENCION TERRITORIAL V,FEDERAL DE INTERVENCION TERRITORIAL,JUAN BAUTISTA DE LA SALLE 4341 (VICENTE LOPEZ),BUENOS AIRES,-34.559311014664,-58.5061891058793,100,100,100
131,DEPTO. SERVICIOS ESPECIALES-S.F.T,FEDERAL DE TRANSPORTE,SALTA 1929 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6300465991305,-58.3828363180926,100,100,100
1310,DIVISION PROTECCION RESIDENCIA PRESIDENCIAL DE OLIVOS,SEGURIDAD Y CUSTODIA,CARLOS VILLATE 1000 (VICENTE LOPEZ),BUENOS AIRES,-34.51181124625,-58.47835657,100,100,100
1311,DIVISION PROTECCION RESIDENCIA PRESIDENCIAL CHAPADMALAL,SEGURIDAD Y CUSTODIA,RUTA 11 KM 1 (GENERAL PUEYRREDON),BUENOS AIRES,-38.20431134528,-57.68763165,100,100,100
1312,DEPTO. UNIDAD INVESTIGATIVA CONTRA LA CORRUPCION,DIR. GRAL. GABINETE DE JEFATURA,MORENO 1550 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.61341140727,-58.38805252,100,100,100
1316,DIR. GRAL. DE ADMINISTRACION FINANCIERA,BIENESTAR,AV. INDEPENDENCIA 353 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6170338586515,-58.3708766844819,100,100,100
1317,DIR. GRAL. DE RESPONSABILIDAD PROFESIONAL,ASUNTOS INTERNOS E INSPECTORIA GENERAL,AV. RIVADAVIA 1325 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6084869120123,-58.3853298223834,100,100,100
1319,DIVISION PREVENCION CASA DE GOBIERNO,FEDERAL DE BOMBEROS,BALCARCE 24 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.60761178332,-58.36967057,100,100,100
1320,DIR. GRAL.DE DELITOS COMPLEJOS,INVESTIGACIONES FEDERALES,MADARIAGA 6976 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6961238486392,-58.47203029193,100,100,100
1321,DEPTO. TRATA DE PERSONAS,INVESTIGACIONES FEDERALES,MADARIAGA 6976 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6960152782142,-58.4720757282235,100,100,100
1323,EX - DEPTO. UNIDAD FEDERAL DE INVESTIGACION DE DELITOS CONTRA LAS PERSONAS,INVESTIGACIONES FEDERALES,MADARIAGA 6976 (CDAD.AUTONOMA DE BUENOS AIRES),CABA,-34.6959578598362,-58.4720778098492,100,100,100
